Eastern Date Hour,DAM Zonal LBMP
01/01/2014 00:00,57.87
01/01/2014 01:00,43.18
01/01/2014 02:00,50.09
01/01/2014 03:00,44.07
01/01/2014 04:00,44.92
01/01/2014 05:00,46.95
01/01/2014 06:00,61.25
01/01/2014 07:00,55.64
01/01/2014 08:00,52.01
01/01/2014 09:00,58.31
01/01/2014 10:00,60
01/01/2014 11:00,66.03
01/01/2014 12:00,65.19
01/01/2014 13:00,61.65
01/01/2014 14:00,58.37
01/01/2014 15:00,59.85
01/01/2014 16:00,84.32
01/01/2014 17:00,133.82
01/01/2014 18:00,124.86
01/01/2014 19:00,93.14
01/01/2014 20:00,89.98
01/01/2014 21:00,71.84
01/01/2014 22:00,56.15
01/01/2014 23:00,65.15
02/01/2014 00:00,51.69
02/01/2014 01:00,50.01
02/01/2014 02:00,56.42
02/01/2014 03:00,55.67
02/01/2014 04:00,61.58
02/01/2014 05:00,61.95
02/01/2014 06:00,128.71
02/01/2014 07:00,159.86
02/01/2014 08:00,134.72
02/01/2014 09:00,161.37
02/01/2014 10:00,163.35
02/01/2014 11:00,177.02
02/01/2014 12:00,179.48
02/01/2014 13:00,167
02/01/2014 14:00,164.24
02/01/2014 15:00,151.87
02/01/2014 16:00,185.18
02/01/2014 17:00,259.89
02/01/2014 18:00,223.32
02/01/2014 19:00,203.19
02/01/2014 20:00,189.35
02/01/2014 21:00,174.38
02/01/2014 22:00,119.32
02/01/2014 23:00,72.42
03/01/2014 00:00,121.25
03/01/2014 01:00,104.78
03/01/2014 02:00,110.73
03/01/2014 03:00,103.81
03/01/2014 04:00,98
03/01/2014 05:00,133.03
03/01/2014 06:00,168.96
03/01/2014 07:00,199.14
03/01/2014 08:00,171.39
03/01/2014 09:00,182.27
03/01/2014 10:00,187.79
03/01/2014 11:00,183.3
03/01/2014 12:00,180.16
03/01/2014 13:00,188.88
03/01/2014 14:00,188.94
03/01/2014 15:00,187.46
03/01/2014 16:00,219.69
03/01/2014 17:00,293.53
03/01/2014 18:00,262.53
03/01/2014 19:00,220.04
03/01/2014 20:00,189.1
03/01/2014 21:00,184.91
03/01/2014 22:00,182.28
03/01/2014 23:00,210
04/01/2014 00:00,166.09
04/01/2014 01:00,155.65
04/01/2014 02:00,152.94
04/01/2014 03:00,149.11
04/01/2014 04:00,152.23
04/01/2014 05:00,156.82
04/01/2014 06:00,187.98
04/01/2014 07:00,172.53
04/01/2014 08:00,186.66
04/01/2014 09:00,206.37
04/01/2014 10:00,204.6
04/01/2014 11:00,189.16
04/01/2014 12:00,172.06
04/01/2014 13:00,164.54
04/01/2014 14:00,159
04/01/2014 15:00,150.6
04/01/2014 16:00,193.27
04/01/2014 17:00,247.61
04/01/2014 18:00,208.89
04/01/2014 19:00,188.05
04/01/2014 20:00,179.77
04/01/2014 21:00,194.12
04/01/2014 22:00,174.7
04/01/2014 23:00,170.16
05/01/2014 00:00,145.99
05/01/2014 01:00,137.21
05/01/2014 02:00,134.6
05/01/2014 03:00,125.18
05/01/2014 04:00,121.24
05/01/2014 05:00,118.07
05/01/2014 06:00,131.06
05/01/2014 07:00,105.44
05/01/2014 08:00,107.02
05/01/2014 09:00,153.11
05/01/2014 10:00,151.51
05/01/2014 11:00,146.94
05/01/2014 12:00,135.56
05/01/2014 13:00,125.55
05/01/2014 14:00,118.98
05/01/2014 15:00,110.67
05/01/2014 16:00,130.95
05/01/2014 17:00,208.09
05/01/2014 18:00,179.13
05/01/2014 19:00,161.31
05/01/2014 20:00,153.56
05/01/2014 21:00,123.39
05/01/2014 22:00,114.11
05/01/2014 23:00,104.47
06/01/2014 00:00,90.07
06/01/2014 01:00,91.27
06/01/2014 02:00,89.14
06/01/2014 03:00,83.77
06/01/2014 04:00,85.01
06/01/2014 05:00,94.77
06/01/2014 06:00,134.19
06/01/2014 07:00,177.81
06/01/2014 08:00,169.04
06/01/2014 09:00,162.62
06/01/2014 10:00,168.38
06/01/2014 11:00,164.35
06/01/2014 12:00,150.74
06/01/2014 13:00,147.74
06/01/2014 14:00,139.5
06/01/2014 15:00,145.42
06/01/2014 16:00,162.49
06/01/2014 17:00,232.32
06/01/2014 18:00,213.4
06/01/2014 19:00,188.87
06/01/2014 20:00,163.92
06/01/2014 21:00,136.24
06/01/2014 22:00,126.22
06/01/2014 23:00,135.13
07/01/2014 00:00,190.63
07/01/2014 01:00,184.34
07/01/2014 02:00,183.03
07/01/2014 03:00,179.13
07/01/2014 04:00,183.81
07/01/2014 05:00,190.73
07/01/2014 06:00,221.9
07/01/2014 07:00,256.14
07/01/2014 08:00,233.9
07/01/2014 09:00,251.59
07/01/2014 10:00,261.46
07/01/2014 11:00,250.36
07/01/2014 12:00,217.35
07/01/2014 13:00,223.28
07/01/2014 14:00,212.46
07/01/2014 15:00,210.54
07/01/2014 16:00,210.39
07/01/2014 17:00,292.8
07/01/2014 18:00,289.24
07/01/2014 19:00,248.63
07/01/2014 20:00,238.75
07/01/2014 21:00,224.83
07/01/2014 22:00,215.99
07/01/2014 23:00,203.75
08/01/2014 00:00,260.83
08/01/2014 01:00,235.03
08/01/2014 02:00,232.77
08/01/2014 03:00,233.4
08/01/2014 04:00,228.24
08/01/2014 05:00,251
08/01/2014 06:00,296.66
08/01/2014 07:00,277.48
08/01/2014 08:00,253.22
08/01/2014 09:00,274.48
08/01/2014 10:00,277.34
08/01/2014 11:00,263.28
08/01/2014 12:00,254.18
08/01/2014 13:00,246.71
08/01/2014 14:00,238.18
08/01/2014 15:00,247.54
08/01/2014 16:00,250.8
08/01/2014 17:00,305.04
08/01/2014 18:00,285.38
08/01/2014 19:00,264.72
08/01/2014 20:00,232.21
08/01/2014 21:00,233.34
08/01/2014 22:00,237.23
08/01/2014 23:00,246.26
09/01/2014 00:00,228.53
09/01/2014 01:00,197.41
09/01/2014 02:00,197.38
09/01/2014 03:00,202.95
09/01/2014 04:00,205.2
09/01/2014 05:00,216.34
09/01/2014 06:00,225.42
09/01/2014 07:00,235.22
09/01/2014 08:00,236.66
09/01/2014 09:00,243.06
09/01/2014 10:00,215.15
09/01/2014 11:00,214.38
09/01/2014 12:00,212.48
09/01/2014 13:00,209.66
09/01/2014 14:00,206.04
09/01/2014 15:00,201.96
09/01/2014 16:00,207.33
09/01/2014 17:00,262.34
09/01/2014 18:00,221.54
09/01/2014 19:00,202.14
09/01/2014 20:00,183.19
09/01/2014 21:00,208.08
09/01/2014 22:00,203.97
09/01/2014 23:00,191.99
10/01/2014 00:00,72.55
10/01/2014 01:00,74.84
10/01/2014 02:00,67.32
10/01/2014 03:00,56.74
10/01/2014 04:00,68.05
10/01/2014 05:00,54.39
10/01/2014 06:00,78.21
10/01/2014 07:00,93.91
10/01/2014 08:00,88.1
10/01/2014 09:00,78.51
10/01/2014 10:00,69.43
10/01/2014 11:00,66.41
10/01/2014 12:00,61.88
10/01/2014 13:00,59.59
10/01/2014 14:00,52.74
10/01/2014 15:00,53.57
10/01/2014 16:00,64.7
10/01/2014 17:00,101.77
10/01/2014 18:00,75.65
10/01/2014 19:00,66.44
10/01/2014 20:00,63.44
10/01/2014 21:00,59.47
10/01/2014 22:00,46.16
10/01/2014 23:00,54.39
11/01/2014 00:00,31.04
11/01/2014 01:00,29.95
11/01/2014 02:00,31.04
11/01/2014 03:00,29.77
11/01/2014 04:00,29.49
11/01/2014 05:00,28.88
11/01/2014 06:00,33.26
11/01/2014 07:00,31.36
11/01/2014 08:00,34.51
11/01/2014 09:00,37.2
11/01/2014 10:00,38.79
11/01/2014 11:00,38.09
11/01/2014 12:00,36.94
11/01/2014 13:00,34.81
11/01/2014 14:00,33.84
11/01/2014 15:00,34.03
11/01/2014 16:00,37.38
11/01/2014 17:00,47.95
11/01/2014 18:00,43.24
11/01/2014 19:00,39.98
11/01/2014 20:00,38.03
11/01/2014 21:00,35.95
11/01/2014 22:00,32.57
11/01/2014 23:00,34.88
12/01/2014 00:00,35.87
12/01/2014 01:00,35.39
12/01/2014 02:00,31.21
12/01/2014 03:00,30.92
12/01/2014 04:00,31.35
12/01/2014 05:00,26.2
12/01/2014 06:00,25.52
12/01/2014 07:00,26.19
12/01/2014 08:00,27.93
12/01/2014 09:00,31.46
12/01/2014 10:00,34.01
12/01/2014 11:00,34.12
12/01/2014 12:00,34.68
12/01/2014 13:00,33.44
12/01/2014 14:00,32.73
12/01/2014 15:00,31.83
12/01/2014 16:00,34.8
12/01/2014 17:00,47.56
12/01/2014 18:00,45.44
12/01/2014 19:00,42.02
12/01/2014 20:00,38.39
12/01/2014 21:00,39.96
12/01/2014 22:00,33.82
12/01/2014 23:00,32.62
13/01/2014 00:00,29.17
13/01/2014 01:00,25.64
13/01/2014 02:00,25.57
13/01/2014 03:00,25.47
13/01/2014 04:00,25.49
13/01/2014 05:00,30.77
13/01/2014 06:00,38.28
13/01/2014 07:00,43.43
13/01/2014 08:00,37.45
13/01/2014 09:00,37.66
13/01/2014 10:00,37.59
13/01/2014 11:00,37.24
13/01/2014 12:00,36.61
13/01/2014 13:00,35.41
13/01/2014 14:00,34.58
13/01/2014 15:00,34.35
13/01/2014 16:00,39.83
13/01/2014 17:00,53.22
13/01/2014 18:00,46.29
13/01/2014 19:00,42.83
13/01/2014 20:00,38.29
13/01/2014 21:00,35.77
13/01/2014 22:00,32.95
13/01/2014 23:00,32.74
14/01/2014 00:00,31.18
14/01/2014 01:00,26.75
14/01/2014 02:00,25.62
14/01/2014 03:00,25.38
14/01/2014 04:00,25.9
14/01/2014 05:00,31.7
14/01/2014 06:00,50.59
14/01/2014 07:00,52.62
14/01/2014 08:00,48.64
14/01/2014 09:00,46.63
14/01/2014 10:00,48.95
14/01/2014 11:00,44.68
14/01/2014 12:00,41.06
14/01/2014 13:00,40.3
14/01/2014 14:00,39.98
14/01/2014 15:00,39.97
14/01/2014 16:00,42.83
14/01/2014 17:00,59.29
14/01/2014 18:00,52.94
14/01/2014 19:00,49.3
14/01/2014 20:00,43.72
14/01/2014 21:00,38.27
14/01/2014 22:00,36.26
14/01/2014 23:00,35.77
15/01/2014 00:00,30.82
15/01/2014 01:00,26.7
15/01/2014 02:00,25.51
15/01/2014 03:00,25.41
15/01/2014 04:00,26.74
15/01/2014 05:00,37.14
15/01/2014 06:00,54.89
15/01/2014 07:00,56.89
15/01/2014 08:00,52.97
15/01/2014 09:00,54.62
15/01/2014 10:00,54.13
15/01/2014 11:00,52.48
15/01/2014 12:00,46.77
15/01/2014 13:00,44.64
15/01/2014 14:00,41.37
15/01/2014 15:00,41.04
15/01/2014 16:00,43.38
15/01/2014 17:00,59.46
15/01/2014 18:00,53.52
15/01/2014 19:00,51.24
15/01/2014 20:00,43.21
15/01/2014 21:00,41.21
15/01/2014 22:00,38.57
